Date,Price,Open,High,Low,Vol.,Return
1/1/1991,194.4476,211.2772,228.3512,184.6536,,-0.116
1/12/1990,219.97,223.72,228.49,206.85,,-0.0336
1/11/1990,227.61,250.05,251.38,225.09,,-0.0873
1/10/1990,249.37,260.31,270.41,228.32,,-0.0771
1/9/1990,270.19,236.42,270.41,236.42,,0.1984
1/8/1990,225.45,199.34,253.41,199.34,,0.1456
1/7/1990,196.8,184.47,196.8,181.56,,0.0685
1/6/1990,184.18,189.29,189.29,182.66,,-0.0297
1/5/1990,189.81,196.18,197.44,189.81,,-0.0213
1/4/1990,193.94,200.4,200.61,190.12,,-0.0235
1/3/1990,198.61,192.86,198.61,192.86,,0.0136
1/2/1990,195.94,198.52,200.95,195.28,,-0.0145
1/1/1990,198.83,212.09,215.64,196.75,,-0.0406
1/12/1989,207.25,193.53,207.25,193.07,,0.0791
1/11/1989,192.05,191.48,193.85,189.2,,0.0118
1/10/1989,189.81,192.35,194.37,188.46,,-0.0176
1/9/1989,193.22,183.22,193.22,183.22,,0.0504
1/8/1989,183.95,177.82,184.05,177.42,,0.0245
1/7/1989,179.55,188.45,190.22,178.19,,-0.0514
1/6/1989,189.27,188.23,193.05,179.7,,0.0039
1/5/1989,188.54,199.38,199.38,184.45,,-0.0459
1/4/1989,197.61,196.11,201.6,192.74,,-0.0001
1/3/1989,197.62,186.84,198.53,186.84,,0.0602
1/2/1989,186.39,183.02,186.39,176.33,,0.0262
1/1/1989,181.64,184.69,187.8,181.58,,-0.015
1/12/1988,184.41,175.41,184.41,172.95,,0.0598
1/11/1988,174.01,166.46,174.01,161.8,,0.042
1/10/1988,166.99,161.16,171.03,159.39,,0.0297
1/9/1988,162.18,167.76,169.59,162.18,,-0.0321
1/8/1988,167.56,170.09,170.68,165.44,,-0.0112
1/7/1988,169.45,171.57,175.79,166.92,,-0.0106
1/6/1988,171.27,178.3,179.81,170.87,,-0.0378
1/5/1988,177.99,170.7,177.99,170.7,,0.017
1/4/1988,175.01,170.82,177.07,169.78,,0.0223
